OBJECTID,shortest_dist
1109,1640.27
1110,1646.36
1111,1312.01
1112,1708.61
1113,1638.23
1114,1650.77
1115,1643.83
1116,1674.39
1117,1698.28
1118,1342.87
1119,1660.97
1120,1613.55
1121,1586.62
1122,1729.8
1123,1635.09
1124,1642.11
1125,1693.35
1126,1719.12
1127,1671.55
1128,1607.76
1129,1642.83
1130,1673.63
1131,1631.85
1132,1675.88
1133,1740.22
1134,1713.87
1135,1725.41
1136,1657.65
1137,1608.92
1138,1676.49
1139,1663.62
1140,1666.04
1141,1671.17
1142,1666.03
1143,1686.37
1144,1499.78
1145,1642.58
1146,1625.12
1147,1678.02
1148,1679.0
1149,1763.31
1150,1606.19
1151,1660.23
1152,1047.61
1153,1742.62
1154,1660.63
1155,1748.94
1156,1656.01
1157,1755.16
1158,1677.99
1159,1761.88
1160,1570.96
1161,1618.33
1162,1572.81
1163,1667.12
1164,1611.02
1165,1664.37
1166,1587.29
1167,1675.19
1168,1672.09
1169,1739.19
1170,1512.52
1171,1700.27
1172,1576.34
1173,1608.31
1174,1631.14
1175,1606.71
1176,1637.91
1177,1614.36
1178,1735.56
1179,997.21
1180,1500.44
1181,1619.63
1182,1565.95
1183,1744.7
1184,1271.18
1185,1752.91
1186,1556.68
1187,1506.14
1188,1573.51
1189,1584.72
1190,1626.2
1191,1565.58
1192,1562.41
1193,1757.87
1194,1758.2
1195,1614.97
1196,1566.03
1197,1622.86
1198,1527.52
1199,1752.88
1200,1612.11
1201,1752.69
1202,1525.06
1203,1630.13
1204,1605.58
1205,1761.01
1206,1756.21
1207,1744.19
1208,1623.1
1209,1763.74
1210,1610.7
1211,1565.66
1212,1750.91
1213,1622.06
1214,1608.12
1215,1745.06
1216,1744.15
1217,984.83
1218,1006.71
1219,1004.74
1220,997.98
1221,1008.19
1222,1040.02
1223,1044.95
1224,1041.96
1225,1763.31
1226,1744.47
1227,1009.26
1228,1014.66
1229,1015.54
1230,1013.88
1231,1016.96
1232,1038.9
1233,1040.42
1234,1038.76
1235,1041.54
1236,1080.5
1237,1632.1
1238,1736.82
1239,1773.51
1240,902.22
1241,1664.43
1242,1639.33
1243,1282.25
1244,1658.07
1245,1619.85
1246,1654.39
1247,1139.06
1248,1673.8
1249,1739.26
1250,1184.5
1251,1653.82
1252,1032.54
1253,1645.77
1254,1766.41
1255,1658.72
1256,1097.97
1257,1769.97
1258,1649.86
1259,1650.15
1260,1646.15
1261,1632.78
1262,1604.84
1263,318.14
1264,1729.37
1265,1622.36
1266,1627.61
1267,1102.74
1268,1646.54
1269,1640.93
1270,1637.35
1271,1621.2
1272,1527.74
1273,1636.46
1274,1668.68
1275,1633.42
1276,1750.97
1277,1641.9
1278,1737.77
1279,1614.67
1280,1643.67
1281,1022.47
1282,1670.06
1283,1637.26
1284,1676.35
1285,1007.45
1286,1743.52
1287,1613.51
1288,1650.47
1289,1665.5
1290,1636.56
1291,1640.11
1292,1644.49
1293,932.33
1294,905.39
1295,1769.24
1296,1745.22
1297,1668.45
1298,1052.58
1299,1656.46
1300,1672.19
1301,1653.71
1302,1634.92
1303,1644.83
1304,1647.32
1305,1758.97
1306,1672.98
1307,1624.71
1308,1621.88
1309,1665.2
1310,1616.5
1311,1606.34
1312,1611.82
1313,1714.1
1314,1745.7
1315,1650.16
1316,1045.95
1317,1636.09
1318,1693.64
1319,1625.83
1320,1652.44
1321,1671.57
1322,1655.85
1323,1648.33
1324,1628.76
1325,1642.48
1326,1669.34
1327,1608.52
1328,1651.12
1329,1046.49
1330,1673.23
1331,1669.64
1332,1608.17
1333,1642.14
1334,1735.85
1335,1595.02
1336,1633.28
1337,1653.44
1338,1663.09
1339,1711.29
1340,1623.54
1341,1614.3
1342,1710.75
1343,1104.4
1344,1654.41
1345,1754.98
1346,1677.26
1347,992.04
1348,989.48
1349,1001.22
1350,1040.95
1351,1033.89
1352,1040.29
1353,1045.34
1354,1030.6
1355,1059.47
1356,1047.32
1357,1714.83
1358,1036.37
1359,1041.18
1360,1043.03
1361,1510.25
1362,1668.61
1363,1518.96
1364,1667.66
1365,1537.3
1366,1709.68
1367,1647.32
1368,1606.86
1369,1743.83
1370,1650.28
1371,1521.12
1372,1647.15
1373,1745.85
1374,1623.36
1375,1657.41
1376,1722.49
1377,1755.56
1378,1714.25
1379,1708.31
1380,1721.71
1381,1654.2
1382,1650.51
1383,1652.03
1384,1655.2
1385,1649.21
1386,1648.22
1387,1753.58
1388,1658.79
1389,1743.11
1390,1656.81
1391,1741.59
1392,1757.88
1393,1745.5
1394,1653.29
1395,990.89
1396,989.84
1397,1004.18
1398,985.22
1399,1008.83
1400,1013.76
1401,1031.28
1402,1041.02
1403,1039.96
1404,1044.5
1405,1051.51
1406,1044.2
1407,1038.61
1408,1039.69
1409,1040.99
1410,1757.97
1411,1746.72
1412,1759.82
1413,1028.18
1414,1029.34
1415,1051.5
1416,1049.23
1417,1680.49
1418,1704.25
1419,1723.36
1420,1716.55
1421,1660.6
1422,1671.6
1423,1641.35
1424,1733.66
1425,1644.98
1426,1741.26
1427,1756.86
1428,1680.66
1429,1537.73
1430,1663.11
1431,1655.45
1432,1302.21
1433,1651.69
1434,1645.42
1435,1655.22
1436,1638.06
1437,1643.8
1438,1646.1
1439,1745.75
1440,1293.11
1441,1394.91
1442,1726.7
1443,1625.58
1444,1757.85
1445,1677.03
1446,1728.13
1447,1734.13
1448,1720.84
1449,1742.97
1450,1651.34
1451,1766.85
1452,1296.85
1453,1740.58
1454,1619.85
1455,1761.66
1456,1648.2
1457,1618.26
1458,1635.35
1459,1665.7
1460,1643.11
1461,1738.27
1462,1649.54
1463,1663.18
1464,1179.95
1465,1747.06
1466,1737.23
1467,1722.71
1468,1716.34
1469,1633.93
1470,1656.06
1471,1666.17
1472,1623.3
1473,1673.43
1474,1628.92
1475,1650.77
1476,1675.3
1477,1634.13
1478,1733.97
1479,1640.75
1480,1659.35
1481,1745.82
1482,1608.57
1483,1636.08
1484,1630.07
1485,1671.19
1486,1772.83
1487,1643.26
1488,1636.26
1489,1641.24
1490,1751.86
1491,1637.05
1492,1748.0
1493,1657.74
1494,1652.63
1495,1724.2
1496,1636.51
1497,1621.12
1498,1642.37
1499,1739.34
1500,1625.87
1501,1648.31
1502,1670.96
1503,1648.28
1504,1627.32
1505,1676.3
1506,1628.33
1507,1642.87
1508,1605.58
1509,1511.52
1510,1758.31
